epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.8297,2.12343,3.49618,2.40692,0.00436,1,0.1307,0.04627,1.49866,4.26019,2.55654,1.429e-05,1.429e-05,1.429e-05
2,8.82034,1.50603,3.28308,1.91995,0.00425,1,0.10948,0.04969,1.59211,4.21695,2.56667,4.20212e-05,4.20212e-05,4.20212e-05
3,12.5041,1.75625,3.22445,1.99711,0.00402,1,0.15081,0.06576,1.54127,4.28452,2.55999,6.86206e-05,6.86206e-05,6.86206e-05
4,15.983,1.22079,3.0628,1.73605,0.00382,1,0.20091,0.05033,1.66727,4.29596,2.58001,9.40882e-05,9.40882e-05,9.40882e-05
5,19.3839,1.4687,3.23844,1.84425,0.00369,1,0.14507,0.06917,1.62185,4.16685,2.42008,0.000118424,0.000118424,0.000118424
6,22.8321,1.46335,2.98026,1.98041,0.00358,1,0.22448,0.09712,1.60637,4.12066,2.41542,0.000141628,0.000141628,0.000141628
7,26.2864,1.41967,2.67303,1.81817,0.00388,1,0.38042,0.11927,1.5771,4.11597,2.39485,0.000163701,0.000163701,0.000163701
8,29.8588,1.50171,2.85967,1.96088,0.00441,1,0.32278,0.12695,1.59254,4.31094,2.43806,0.000184641,0.000184641,0.000184641
9,33.2848,1.53554,2.27101,1.7299,0.00445,1,0.3413,0.13563,1.65498,4.41141,2.69007,0.00020445,0.00020445,0.00020445
10,36.6028,1.37979,2.46068,1.76101,0.00491,1,0.34489,0.26634,1.6987,4.39143,2.76934,0.000223127,0.000223127,0.000223127
11,39.9816,1.2888,2.38589,1.66144,0.00471,1,0.3519,0.24548,1.74247,4.4203,2.79894,0.000240672,0.000240672,0.000240672
12,43.2541,1.43526,2.17821,1.76994,0.00449,1,0.34815,0.24149,1.74236,4.25568,2.72095,0.000257086,0.000257086,0.000257086
13,46.643,1.31398,2.13839,1.67082,0.00426,1,0.35514,0.24673,1.65538,4.1504,2.60618,0.000272367,0.000272367,0.000272367
14,49.9269,1.27791,2.39066,1.6306,0.00423,1,0.38611,0.28068,1.67846,4.25201,2.46548,0.000286517,0.000286517,0.000286517
15,53.2655,1.25505,2.06063,1.72208,0.00436,1,0.40278,0.22382,1.71366,4.05728,2.46719,0.000299536,0.000299536,0.000299536
16,56.7265,1.41428,2.19331,1.81972,0.00442,1,0.38611,0.22689,1.81493,3.95994,2.49935,0.000311422,0.000311422,0.000311422
17,60.0588,1.13726,1.87453,1.64716,0.00455,1,0.42225,0.1799,1.85586,4.0754,2.42997,0.000322177,0.000322177,0.000322177
